Mata_Uang,Usia,Gender,Plan,Term,PPP,100_Ribu,150_Ribu,200_Ribu,250_Ribu,300_Ribu,350_Ribu,500_Ribu,750_Ribu,1_Juta,5_Juta
IDR,2,PRIA,Flexi Berkah,108,5,18.0,24.0,32.0,40.0,48.0,56.0,75.0,112.4,149.9,700.0
IDR,2,PRIA,Flexi Berkah,,10,9.4,12.6,16.9,19.2,22.5,26.3,37.5,56.3,75.0,351.5
IDR,2,PRIA,Flexi Berkah,,15,6.8,10.2,12.2,15.3,18.3,19.2,27.2,40.7,54.3,254.5
IDR,2,PRIA,Flexi Cermat,15,5,138.2,207.3,276.4,345.6,414.7,483.8,691.1,1,036.7,1,382.2,6,911.0
IDR,2,PRIA,Flexi Cermat,,10,71.5,107.3,143.0,178.8,214.6,250.3,357.6,536.4,715.2,3,576.0
IDR,2,PRIA,Flexi Cermat,25,5,81.2,121.8,162.4,203.0,243.6,284.2,406.1,609.1,758.0,3,790.0
IDR,2,PRIA,Flexi Cermat,,10,45.8,68.8,86.0,107.5,128.9,150.4,214.9,322.4,429.8,2,005.5
IDR,2,PRIA,Flexi Cermat,,15,31.2,46.8,62.4,75.0,87.8,102.4,146.4,219.5,292.7,1,365.5
IDR,2,PRIA,Flexi Cermat,35,5,47.5,71.2,89.0,111.3,133.5,155.8,222.6,333.8,445.1,2,077.5
IDR,2,PRIA,Flexi Cermat,,10,26.8,40.2,53.6,67.0,75.4,88.0,125.7,188.5,251.3,1,173.0
IDR,2,PRIA,Flexi Cermat,,15,19.3,29.0,38.6,48.3,58.0,67.6,90.6,135.8,181.1,845.5
USD,2,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,2,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,2,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,2,PRIA,Flexi Berkah,108,5,7500,10661,14214,17768,21321,24875,35535,53303,70000,331650
USD,2,PRIA,Flexi Berkah,,10,3702,5553,7404,8675,10410,12145,17350,26025,34700,161950
USD,2,PRIA,Flexi Berkah,,15,2682,4023,5364,6705,7545,8803,12575,18863,25150,117350
USD,2,PRIA,Flexi Cermat,15,5,16740,25110,33480,41850,50220,58590,83700,125550,167400,837000
USD,2,PRIA,Flexi Cermat,,10,8653,12980,17306,21633,25959,30286,43265,64898,86530,432650
USD,2,PRIA,Flexi Cermat,25,5,12191,18287,24382,30478,36573,42669,60955,85343,113790,568950
USD,2,PRIA,Flexi Cermat,,10,6656,9360,12480,15600,18720,21840,31200,46800,62400,291200
USD,2,PRIA,Flexi Cermat,,15,4194,6291,7864,9830,11796,13762,19660,29490,39320,183500
USD,2,PRIA,Flexi Cermat,35,5,8582,12873,17164,21455,25746,30037,42910,64365,80100,400500
USD,2,PRIA,Flexi Cermat,,10,4404,6606,8258,10323,12387,14452,20645,30968,41290,192700
USD,2,PRIA,Flexi Cermat,,15,2966,4449,5932,7415,8343,9734,13905,20858,27810,129800
IDR,2,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,2,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,2,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,2,WANITA,Flexi Berkah,108,5,15.4,20.5,27.3,34.2,41.0,47.8,68.3,96.0,128.0,640.0
IDR,2,WANITA,Flexi Berkah,,10,8.0,10.8,14.4,18.0,19.2,22.4,32.0,48.0,64.0,300.0
IDR,2,WANITA,Flexi Berkah,,15,5.6,8.4,10.8,12.7,15.2,17.7,22.5,33.8,45.0,211.0
IDR,2,WANITA,Flexi Cermat,15,5,130.8,196.2,261.6,327.0,392.4,457.8,654.1,981.1,1,308.1,6,540.5
IDR,2,WANITA,Flexi Cermat,,10,69.4,104.1,138.9,173.6,208.3,243.0,347.2,520.7,694.3,3,471.5
IDR,2,WANITA,Flexi Cermat,25,5,80.7,121.1,161.4,201.8,242.1,282.5,403.6,605.3,753.3,3,766.5
IDR,2,WANITA,Flexi Cermat,,10,44.1,66.2,82.7,103.4,124.0,144.7,206.7,310.1,413.4,1,929.0
IDR,2,WANITA,Flexi Cermat,,15,30.3,45.5,60.6,75.0,85.3,99.5,142.2,213.2,284.3,1,326.5
IDR,2,WANITA,Flexi Cermat,35,5,46.9,70.4,88.0,110.0,132.0,154.0,220.0,329.9,439.9,2,053.0
IDR,2,WANITA,Flexi Cermat,,10,25.7,38.6,51.4,64.3,75.0,84.3,120.5,180.7,240.9,1,124.0
